date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2025-08-19,1.38377284228175,4103.842281750061,0.2966,75.67,10
2025-08-20,1.3856388422817498,4103.842281750061,0.2962,75.67,10
2025-08-21,1.38701184228175,4103.842281750061,0.2959,75.67,10
2025-08-22,1.4531968422817498,4103.842281750061,0.2824,75.67,10
2025-08-25,1.5550278422817498,4103.842281750061,0.2639,75.67,10
2025-08-26,1.50627484228175,4103.842281750061,0.2724,75.67,10
2025-08-27,1.59156184228175,4103.842281750061,0.2579,75.67,10
2025-08-28,1.78017784228175,4103.842281750061,0.2305,75.67,10
2025-08-29,1.78657784228175,4103.842281750061,0.2297,75.67,10
2025-09-01,1.96104909731175,4312.0973117500625,0.2199,76.51,10
2025-09-02,1.83103109731175,4312.0973117500625,0.2355,76.51,10
2025-09-03,1.93031909731175,4312.0973117500625,0.2234,76.51,10
2025-09-04,1.66065649390375,30430.493903750066,1.8324,73.11,10
2025-09-05,1.82864552138375,267202.5213837501,14.612,62.66,10
2025-09-08,1.67816989603375,182059.8960337501,10.8487,77.83,10
2025-09-09,1.6605846813787501,362706.6813787501,21.8421,58.27,10
2025-09-10,1.73713968137875,362706.6813787501,20.8795,58.27,10
2025-09-11,1.91270241887875,320155.41887875006,16.7384,62.52,10
2025-09-12,1.83568503287875,398453.03287875006,21.706,54.81,10
2025-09-15,1.80189546105375,276036.46105375007,15.3192,67.05,10
2025-09-16,1.7956836588537501,399222.6588537501,22.2323,54.81,10
2025-09-17,1.7969150982600002,278108.0982600001,15.477,66.92,10
2025-09-18,1.79647709826,278108.0982600001,15.4807,66.92,10
2025-09-19,1.8228150982600002,278108.0982600001,15.2571,66.92,10
2025-09-22,1.79791809826,278108.0982600001,15.4683,66.92,10
2025-09-23,1.84259479726,233478.7972600001,12.6712,71.38,10
2025-09-24,1.83285528826,274941.2882600001,15.0007,66.92,10
2025-09-25,1.90353433826,231014.3382600001,12.1361,71.31,10
2025-09-26,1.86536557826,229849.5782600001,12.322,71.31,10
2025-09-29,1.907566036693,78443.03669300006,4.1122,86.13,10
2025-09-30,1.822620387643,263172.3876430001,14.4392,66.92,10
2025-10-09,1.777488349303,16511.34930300009,0.9289,91.41,10
2025-10-10,1.7431195718330001,164532.57183300008,9.439,75.84,10
2025-10-13,1.734809699373,338419.69937300007,19.5076,70.49,10
2025-10-14,1.599272996883,407833.996883,25.5012,61.72,10
2025-10-15,1.624252364423,388597.364423,23.9247,62.51,10
2025-10-16,1.647582650203,395417.65020300006,23.9999,61.72,10
2025-10-17,1.622670006853,388740.0068530001,23.9568,62.11,10
2025-10-20,1.681012280243,376521.2802430001,22.3985,62.54,10
2025-10-21,1.809081093388,376146.0933880001,20.7921,61.97,10
2025-10-22,1.8014840443880002,332021.0443880001,18.4304,66.38,10
2025-10-23,1.769089008388,376008.0083880001,21.2543,61.97,10
2025-10-24,1.894388534888,331033.53488800005,17.4744,66.47,10
2025-10-27,1.9735377138880001,275358.71388800006,13.9525,72.03,10
2025-10-28,1.995902296888,224494.29688800007,11.2478,77.12,10
2025-10-29,2.013274296888,224494.29688800007,11.1507,77.12,10
2025-10-30,1.935222936888,277795.93688800005,14.3547,71.55,10
2025-10-31,1.8218370518880003,271677.05188800005,14.9123,71.8,10
2025-11-03,1.8457070518879999,271677.05188800005,14.7194,71.8,10
2025-11-04,1.859322051888,271677.05188800005,14.6116,71.8,10
2025-11-05,1.848714051888,271677.05188800005,14.6955,71.8,10
2025-11-06,1.9115010518880002,271677.05188800005,14.2128,71.8,10
2025-11-07,1.885763030988,198094.03098800004,10.5047,79.15,10
2025-11-10,1.862238016663,197237.01666300005,10.5914,79.15,10
2025-11-11,1.797866898488,267315.89848800004,14.8685,71.8,10
2025-11-12,1.847032342568,156899.34256800002,8.4947,82.83,10
